Tanggal,Kelembapan_Tanah,Suhu,Kelembapan_Udara,Curah_Hujan,Target_Kebutuhan_Air_mm
2026-04-01,38.58,18.71,74.54,1169.81,10.08
2026-04-02,37.73,37.27,63.14,1125.12,38.94
2026-04-03,28.82,37.58,57.45,982.40,38.33
2026-04-04,64.34,23.57,33.72,1873.57,14.67
2026-04-05,13.30,24.38,89.90,472.67,9.53
2026-04-06,43.40,32.66,72.86,2442.68,9.07
2026-04-07,40.97,38.11,55.08,100.20,12.58
2026-04-08,32.31,34.17,82.96,1347.49,8.68
2026-04-09,37.12,36.45,78.29,111.32,37.38
2026-04-10,19.57,34.21,83.66,723.68,35.69
2026-04-11,27.52,20.78,68.53,136.08,8.69
2026-04-12,19.17,39.65,27.12,2314.24,42.10
2026-04-13,61.03,26.45,38.47,1448.27,6.41
2026-04-14,36.41,19.44,64.00,2463.00,8.39
2026-04-15,61.49,33.48,57.76,2039.36,9.48
2026-04-16,37.09,21.20,27.72,2074.33,12.54
2026-04-17,22.89,13.98,82.61,1142.39,44.15
2026-04-18,55.12,24.04,62.36,2054.28,10.39
2026-04-19,23.45,27.14,26.41,2284.47,43.59
2026-04-20,26.17,39.70,29.85,1821.30,9.61
2026-04-21,64.47,30.85,80.57,1428.65,13.42
2026-04-22,40.41,32.76,76.77,62.59,40.49
2026-04-23,47.96,41.45,49.77,2179.21,11.90
2026-04-24,10.52,17.35,50.87,1017.02,43.69
2026-04-25,30.36,29.86,53.35,1417.19,12.43
2026-04-26,19.92,16.42,48.64,520.57,14.04
2026-04-27,64.69,36.63,30.94,2102.34,38.38
2026-04-28,28.58,28.40,75.38,2019.08,39.89
2026-04-29,28.88,20.24,33.72,811.91,12.57
2026-04-30,16.84,22.96,69.60,1641.61,35.20
2026-05-01,13.60,39.42,80.84,1429.41,39.94
2026-05-02,26.04,39.73,84.05,681.65,7.23
2026-05-03,15.44,35.04,44.97,206.06,40.80
2026-05-04,32.62,33.09,93.04,303.39,11.80
2026-05-05,48.27,32.48,28.52,719.10,14.66
2026-05-06,12.88,40.79,76.38,643.77,81.98
2026-05-07,59.42,34.62,49.42,1648.98,10.69
2026-05-08,23.34,15.98,73.82,990.27,12.18
2026-05-09,48.80,18.53,60.11,928.60,14.44
2026-05-10,38.59,13.11,42.79,716.48,7.10
2026-05-11,52.05,18.78,64.08,2309.87,10.02
2026-05-12,36.62,24.64,30.70,1357.82,12.46
2026-05-13,19.06,12.68,37.06,259.22,76.92
2026-05-14,47.30,27.98,75.98,432.18,9.61
2026-05-15,34.65,15.21,56.32,2175.32,8.71
2026-05-16,26.65,37.95,39.24,2304.29,37.68
2026-05-17,10.67,18.79,51.13,2366.54,13.68
2026-05-18,33.27,27.63,53.52,501.16,7.89
2026-05-19,35.48,24.56,47.32,565.61,13.77
2026-05-20,16.50,21.61,72.90,677.50,36.57
2026-05-21,9.26,30.60,44.57,696.03,43.07
2026-05-22,52.77,31.47,35.75,1898.25,41.17
2026-05-23,10.58,25.45,57.67,2066.57,38.02
2026-05-24,10.48,23.61,41.20,580.49,8.97
2026-05-25,63.05,35.26,41.78,839.61,5.32
2026-05-26,52.06,14.59,55.87,2435.98,14.37
2026-05-27,60.43,38.63,80.04,605.70,6.37
2026-05-28,32.33,17.25,45.53,2245.53,35.63
2026-05-29,31.70,23.95,52.93,233.96,37.20
2026-05-30,44.01,16.85,27.60,1271.77,35.89
2026-05-31,36.46,27.27,58.32,501.05,14.61
2026-06-01,26.87,28.82,27.11,135.74,11.74
2026-06-02,28.37,18.46,30.88,1516.52,41.60
2026-06-03,12.03,37.24,26.31,1863.04,37.20
2026-06-04,18.15,17.13,50.12,454.46,9.40
2026-06-05,11.19,20.22,60.37,856.00,13.64
2026-06-06,18.84,18.69,60.03,320.35,13.94
2026-06-07,42.98,40.46,81.13,1298.39,14.75
2026-06-08,22.17,21.39,54.40,603.53,43.06
2026-06-09,46.46,29.00,61.17,64.11,35.11
2026-06-10,23.52,41.11,65.25,1847.37,44.14
2026-06-11,34.01,24.78,46.80,1213.01,12.35
2026-06-12,12.11,19.18,75.23,2109.71,7.25
2026-06-13,57.63,31.63,56.08,346.45,42.94
2026-06-14,9.32,23.47,85.96,1996.21,42.62
2026-06-15,20.71,25.01,27.91,1040.37,7.22
2026-06-16,42.66,39.36,93.32,2163.57,39.60
2026-06-17,62.32,19.82,71.85,724.79,44.37
2026-06-18,16.35,18.58,55.01,2457.91,41.08
2026-06-19,20.58,38.94,59.55,121.77,78.94
2026-06-20,28.88,17.76,48.26,805.09,13.76
2026-06-21,32.17,24.22,93.25,687.47,13.51
2026-06-22,21.00,14.11,42.35,1114.33,38.92
2026-06-23,38.52,16.52,57.06,2103.23,12.59
2026-06-24,64.45,39.81,29.34,2047.45,41.22
2026-06-25,14.74,17.17,38.58,2105.05,43.41
2026-06-26,54.98,19.63,58.28,1547.08,13.67
2026-06-27,33.09,23.29,40.15,507.95,35.76
2026-06-28,37.77,20.06,54.25,812.82,13.42
2026-06-29,41.83,26.46,49.74,630.23,6.30
2026-06-30,55.57,17.57,60.72,911.66,5.92
